Category,tag,id_name,class_name,all_attributes,text_content,text_content_length,text_content_num_words,text_content_num_digits,text_content_price_format,parent_tag,num_children,num_siblings,position_in_siblings,child_tags,dom_distance_from_root,has_href,is_image,image_src,Selector
other,a,,w3-bar-item w3-button w3-hover-text-black,"{'href': '/category/Art/mostExpensive?page=1', 'onclick': 'w3_close()', 'class': 'w3-bar-item w3-button w3-hover-text-black', 'style': ''}",Art,3,1,0,0,h3,1,0,0,['i'],6,True,False,,
other,div,,,{'class': ''},75 Chf,6,2,2,0,div,1,2,2,['h1'],8,False,False,,
other,i,, fa fa-minus w3-margin-right,{'class': ' fa fa-minus w3-margin-right'},,0,0,0,0,a,0,0,0,[],7,False,False,,
other,h3,,,{},Arts and crafts,15,3,0,0,div,1,10,3,['a'],5,False,False,,
other,<cyfunction Comment at 0x79cc09524ac0>,,,{},,0,0,0,0,,0,0,0,[],4,False,False,,
other,a,,w3-bar-item w3-button w3-hover-text-black,"{'href': '/category/Arts and crafts/mostExpensive?page=1', 'onclick': 'w3_close()', 'class': 'w3-bar-item w3-button w3-hover-text-black'}",Arts and crafts,15,3,0,0,h3,1,0,0,['i'],6,True,False,,
other,div,,spacing w3-container w3-margin-bottom,{'class': 'spacing w3-container w3-margin-bottom'},"controspazio: n°5-6 settembre-dicembre 1 ...
                        
                        
                            text_string = ""Controspazio: N°5-6 settembre-dicembre 1979 - Bimestrale di Architettura e Urbanistica"".toLowerCase().replaceAll(""&#x27;"",""'"").replaceAll(""&quot;"", ""\"""").replaceAll(""&amp;"", ""&"");
                            if(text_string.length > 40){
                                text_string = text_string.substring(0, 40)+ "" ..."";
                            }
                            if(text_string.length > 25){
                                document.getElementById(""11494_id"").removeChild(document.getElementById(""11494_br""));
                            }
                            document.getElementById(""11494"").textContent = text_string;
                            document.getElementById(""11494"").style.fontFamily = ""throndale, sans-serif""
                        
                    
                        
                            
                                35 Chf",1024,43,40,0,div,1,30,24,['div'],4,False,False,,
other,i,, fa fa-minus w3-margin-right,{'class': ' fa fa-minus w3-margin-right'},,0,0,0,0,a,0,0,0,[],7,False,False,,
other,div,,w3-container grid-container w3-center w3-padding-16,"{'class': 'w3-container grid-container w3-center w3-padding-16', 'style': 'height: 650px'}","controspazio: n°5-6 settembre-dicembre 1 ...
                        
                        
                            text_string = ""Controspazio: N°5-6 settembre-dicembre 1979 - Bimestrale di Architettura e Urbanistica"".toLowerCase().replaceAll(""&#x27;"",""'"").replaceAll(""&quot;"", ""\"""").replaceAll(""&amp;"", ""&"");
                            if(text_string.length > 40){
                                text_string = text_string.substring(0, 40)+ "" ..."";
                            }
                            if(text_string.length > 25){
                                document.getElementById(""11494_id"").removeChild(document.getElementById(""11494_br""));
                            }
                            document.getElementById(""11494"").textContent = text_string;
                            document.getElementById(""11494"").style.fontFamily = ""throndale, sans-serif""
                        
                    
                        
                            
                                35 Chf",1024,43,40,0,div,1,0,0,['a'],5,False,False,,
other,h3,,,{},Children's books,16,2,0,0,div,1,10,4,['a'],5,False,False,,
